canonical_vgp_root	packet	source_row	job_id	job_name	partition	state	elapsed	elapsed_seconds	timelimit	allocated_cpus	requested_memory	max_rss	cpu_time_raw	total_cpu	exit_code	node_list	start	end	submit	failure_or_nonterminal
/moosefs/erikg/vgp	scale_vgp_real	26	1781922	vgp10-P03-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:06	true
/moosefs/erikg/vgp	scale_vgp_real	27	1781923	vgp10-P03-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:06	true
/moosefs/erikg/vgp	scale_vgp_real	28	1781924	vgp10-P03-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:06	true
/moosefs/erikg/vgp	scale_vgp_real	29	1781925	vgp10-P03-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	30	1781926	vgp10-P04-preflight		COMPLETED	00:01:25	85	01:00:00	4	16G		340	00:00:00	0:0	octopus07	2026-07-19T07:16:07	2026-07-19T07:17:32	2026-07-19T07:16:07	false
/moosefs/erikg/vgp	scale_vgp_real	31	1781927	vgp10-P04-mapping		FAILED	00:00:15	15	3-00:00:00	32	160G		480	00:00:00	1:0	octopus07	2026-07-19T07:17:32	2026-07-19T07:17:47	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	32	1781928	vgp10-P04-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	33	1781929	vgp10-P04-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	34	1781930	vgp10-P04-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	35	1781932	vgp10-P04-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	36	1781933	vgp10-P08-preflight		COMPLETED	00:00:47	47	01:00:00	4	16G		188	00:00:00	0:0	octopus07	2026-07-19T07:16:09	2026-07-19T07:16:56	2026-07-19T07:16:07	false
/moosefs/erikg/vgp	scale_vgp_real	37	1781934	vgp10-P08-mapping		FAILED	00:00:29	29	3-00:00:00	32	128G		928	00:00:00	1:0	octopus08	2026-07-19T07:16:56	2026-07-19T07:17:25	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	38	1781935	vgp10-P08-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:20:14	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	39	1781936	vgp10-P08-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:20:14	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	40	1781937	vgp10-P08-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:20:14	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	41	1781939	vgp10-P08-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:20:14	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	42	1781940	vgp10-P08-annotation		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:20:14	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	43	1781931	vgp10-P04-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	44	1781938	vgp10-P08-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:20:14	2026-07-19T07:16:07	true
/moosefs/erikg/vgp	scale_vgp_real	45	1781941	vgp10-P08-preflight		COMPLETED	00:00:02	2	01:00:00	4	16G		8	00:00:00	0:0	octopus07	2026-07-19T07:20:14	2026-07-19T07:20:16	2026-07-19T07:20:14	false
/moosefs/erikg/vgp	scale_vgp_real	46	1781942	vgp10-P08-mapping		FAILED	00:00:05	5	3-00:00:00	32	128G		160	00:00:00	1:0	octopus07	2026-07-19T07:20:17	2026-07-19T07:20:22	2026-07-19T07:20:14	true
/moosefs/erikg/vgp	scale_vgp_real	47	1781943	vgp10-P08-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:20:14	true
