row_type	candidate_id	scientific_name	pilot_selected	pilot_selection_group	assembly_composition_eligible	assembly_diversity_eligible	download_bytes_exact	persistent_storage_bytes_exact	core_hours_base	core_hours_high	peak_memory_gib_base	peak_memory_gib_high	wall_hours_base	wall_hours_high	scratch_gb_base	scratch_gb_high	inode_count_base	inode_count_high	moosefs_read_gb_base	moosefs_read_gb_high	moosefs_write_gb_base	moosefs_write_gb_high	metadata_operations_base	metadata_operations_high	formula_version	quota_state	gate_readiness
candidate	anolis_sagrei_gca_037176765_1	Anolis sagrei	no	UNASSIGNED	no	no	1146763931	1146763931	0.3176	1.3728	4.46	17.83	0.2424	1.0764	9.2487	45.129	836	2786	10.0287	50.1433	0.078	0.39	6686	33429	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	rhineura_floridana_gca_030035675_1	Rhineura floridana	no	UNASSIGNED	no	no	1471977037	1471977037	0.4	1.7293	5.61	22.46	0.3053	1.356	11.6505	56.849	1053	3509	12.6331	63.1656	0.0983	0.4913	8422	42110	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	euleptes_europaea_gca_029931775_1	Euleptes europaea	no	UNASSIGNED	no	no	1122770926	1122770926	0.3272	1.4146	4.59	18.37	0.2497	1.1091	9.5299	46.5012	861	2870	10.3336	51.668	0.0804	0.4019	6889	34445	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	dendropsophus_ebraccatus_gca_027789765_1	Dendropsophus ebraccatus	no	UNASSIGNED	no	no	1317901491	1317901491	0.462	1.997	6.48	25.93	0.3525	1.5658	13.4535	65.6467	1216	4052	14.5882	72.9408	0.1135	0.5673	9725	48627	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	engystomops_pustulosus_gca_040894005_1	Engystomops pustulosus	no	UNASSIGNED	no	no	1193989498	1193989498	0.4013	1.7346	5.63	22.53	0.3062	1.3601	11.6862	57.0231	1056	3520	12.6718	63.359	0.0986	0.4928	8448	42239	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	pseudophryne_corroboree_gca_028390025_1	Pseudophryne corroboree	no	UNASSIGNED	no	no	4930540819	4930540819	1.3807	5.9685	19.38	32.0	1.0537	4.6799	40.21	196.2052	3633	12111	43.6012	218.0058	0.3391	1.6956	29067	145337	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	ambystoma_mexicanum_x_ambystoma_tigrinum_gca_040938575_1	Ambystoma mexicanum x Ambystoma tigrinum	no	UNASSIGNED	no	no	17817598665	17817598665	5.0006	21.6166	70.18	32.0	3.8162	16.9494	145.6315	710.6114	13159	43865	157.9136	789.5682	1.2282	6.1411	105276	526379	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	erpetoichthys_calabaricus_gca_900747795_4	Erpetoichthys calabaricus	no	UNASSIGNED	no	no	1151187093	1151187093	0.5989	2.5889	8.41	32.0	0.457	2.0299	17.4413	85.1052	1576	5253	18.9123	94.5613	0.1471	0.7355	12608	63041	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	acipenser_ruthenus_gca_902713425_2	Acipenser ruthenus	no	UNASSIGNED	no	no	1134447837	1134447837	0.3917	1.693	5.5	21.99	0.2989	1.3275	11.406	55.6559	1031	3436	12.368	61.8399	0.0962	0.481	8245	41227	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	amia_calva_gca_036373705_1	Amia calva	no	UNASSIGNED	no	no	577066447	577066447	0.2103	0.9092	2.95	11.81	0.1605	0.7129	6.1256	29.8898	554	1845	6.6422	33.2109	0.0517	0.2583	4428	22141	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	lepisosteus_oculatus_gca_040954835_1	Lepisosteus oculatus	no	UNASSIGNED	no	no	660418901	660418901	0.2587	1.1183	3.63	14.52	0.1974	0.8769	7.5342	36.7632	681	2269	8.1696	40.848	0.0635	0.3177	5446	27232	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	megalops_cyprinoides_gca_013368585_1	Megalops cyprinoides	no	UNASSIGNED	no	no	302039205	302039205	0.192	0.8302	2.7	10.78	0.1466	0.6509	5.5929	27.2909	505	1685	6.0646	30.3232	0.0472	0.2358	4043	20215	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	anguilla_anguilla_gca_013347855_1	Anguilla anguilla	no	UNASSIGNED	no	no	303605420	303605420	0.2199	0.9505	3.09	12.34	0.1678	0.7453	6.4035	31.2461	579	1929	6.9436	34.7179	0.054	0.27	4629	23145	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	scleropages_formosus_gca_900964775_1	Scleropages formosus	no	UNASSIGNED	no	no	250715264	250715264	0.1649	0.7128	2.31	9.26	0.1258	0.5589	4.8019	23.4308	434	1446	5.2068	26.0342	0.0405	0.2025	3471	17356	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	denticeps_clupeoides_gca_900700375_2	Denticeps clupeoides	no	UNASSIGNED	no	no	175404557	175404557	0.1765	0.7632	2.48	9.91	0.1347	0.5984	5.1414	25.0874	465	1549	5.575	27.8749	0.0434	0.2168	3717	18583	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	chanos_chanos_gca_902362185_1	Chanos chanos	no	UNASSIGNED	no	no	199755083	199755083	0.141	0.6096	2	7.92	0.1076	0.478	4.1068	20.0391	371	1237	4.4531	22.2657	0.0346	0.1732	2969	14844	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	pygocentrus_nattereri_gca_015220715_1	Pygocentrus nattereri	no	UNASSIGNED	no	no	375489726	375489726	0.2328	1.0063	3.27	13.07	0.1777	0.7891	6.7798	33.082	613	2042	7.3516	36.7578	0.0572	0.2859	4901	24505	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	esox_lucius_gca_011004845_1	Esox lucius	no	UNASSIGNED	no	no	287857191	287857191	0.1776	0.7677	2.49	9.97	0.1355	0.6019	5.172	25.2367	467	1558	5.6082	28.0408	0.0436	0.2181	3739	18694	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	lampris_incognitus_gca_029633865_1	Lampris incognitus	no	UNASSIGNED	no	no	835609867	835609867	0.3834	1.6572	5.38	21.52	0.2926	1.2994	11.1645	54.4773	1009	3363	12.1061	60.5303	0.0942	0.4708	8071	40354	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	gadus_morhua_gca_902167405_1	Gadus morhua	no	UNASSIGNED	no	no	194836150	194836150	0.2092	0.9044	2.94	11.75	0.1597	0.7091	6.0929	29.7306	551	1835	6.6068	33.034	0.0514	0.2569	4405	22023	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	myripristis_murdjan_gca_902150065_1	Myripristis murdjan	no	UNASSIGNED	no	no	262762829	262762829	0.181	0.7826	2.54	10.16	0.1382	0.6137	5.2726	25.7276	476	1588	5.7172	28.5862	0.0445	0.2223	3811	19057	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	thalassophryne_amazonica_gca_902500255_1	Thalassophryne amazonica	no	UNASSIGNED	no	no	740606110	740606110	0.4844	2.0942	6.8	27.2	0.3697	1.642	14.1085	68.8424	1275	4250	15.2983	76.4916	0.119	0.5949	10199	50994	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	periophthalmus_magnuspinnatus_gca_009829125_3	Periophthalmus magnuspinnatus	no	UNASSIGNED	no	no	234121199	234121199	0.1963	0.8485	2.75	11.02	0.1498	0.6653	5.7164	27.8934	517	1722	6.1985	30.9926	0.0482	0.2411	4132	20662	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	syngnathus_acus_gca_901709675_2	Syngnathus acus	no	UNASSIGNED	no	no	101943380	101943380	0.1089	0.4706	2	6.11	0.0831	0.369	3.1704	15.4702	286	955	3.4378	17.1891	0.0267	0.1337	2292	11459	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	thunnus_maccoyii_gca_910596095_1	Thunnus maccoyii	no	UNASSIGNED	no	no	246015129	246015129	0.1586	0.6855	2.23	8.9	0.121	0.5375	4.6179	22.5332	417	1391	5.0074	25.0369	0.0389	0.1947	3338	16691	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	mastacembelus_armatus_gca_900324485_3	Mastacembelus armatus	no	UNASSIGNED	no	no	181809431	181809431	0.1505	0.6505	2.11	8.45	0.1148	0.5101	4.3827	21.3855	396	1320	4.7523	23.7617	0.037	0.1848	3168	15841	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	anabas_testudineus_gca_900324465_3	Anabas testudineus	no	UNASSIGNED	no	no	173720990	173720990	0.1428	0.6174	2.0	8.02	0.109	0.4841	4.1597	20.2972	376	1253	4.5105	22.5525	0.0351	0.1754	3007	15035	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	toxotes_jaculatrix_gca_017976425_1	Toxotes jaculatrix	no	UNASSIGNED	no	no	184529329	184529329	0.1416	0.6122	2	7.95	0.1081	0.48	4.1246	20.1259	373	1242	4.4724	22.3621	0.0348	0.1739	2982	14908	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	hippoglossus_hippoglossus_gca_009819705_1	Hippoglossus hippoglossus	no	UNASSIGNED	no	no	186729497	186729497	0.1503	0.6498	2.11	8.44	0.1147	0.5095	4.3774	21.3595	396	1318	4.7466	23.7328	0.0369	0.1846	3164	15822	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	echeneis_naucrates_gca_900963305_2	Echeneis naucrates	no	UNASSIGNED	no	no	172053280	172053280	0.1299	0.5617	2	7.29	0.0992	0.4404	3.7842	18.465	342	1140	4.1033	20.5167	0.0319	0.1596	2736	13678	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	parambassis_ranga_gca_900634625_2	Parambassis ranga	no	UNASSIGNED	no	no	167738544	167738544	0.2013	0.8702	2.83	11.3	0.1536	0.6823	5.8625	28.6062	530	1766	6.3569	31.7847	0.0494	0.2472	4238	21190	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	astatotilapia_calliptera_gca_964374335_1	Astatotilapia calliptera	no	UNASSIGNED	no	no	289046101	289046101	0.1754	0.7581	2.46	9.85	0.1338	0.5944	5.1071	24.9202	461	1538	5.5378	27.6891	0.0431	0.2154	3692	18459	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	scatophagus_argus_gca_020382885_1	Scatophagus argus	no	UNASSIGNED	no	no	180703458	180703458	0.128	0.5533	2	7.19	0.0977	0.4338	3.7276	18.189	337	1123	4.042	20.21	0.0314	0.1572	2695	13473	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	melanotaenia_boesemani_gca_017639745_1	Melanotaenia boesemani	no	UNASSIGNED	no	no	270397365	270397365	0.1968	0.8507	2.76	11.05	0.1502	0.667	5.7313	27.9662	518	1726	6.2147	31.0735	0.0483	0.2417	4143	20716	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	salarias_fasciatus_gca_902148845_1	Salarias fasciatus	no	UNASSIGNED	no	no	245909111	245909111	0.2014	0.8706	2.83	11.31	0.1537	0.6826	5.865	28.6185	530	1767	6.3597	31.7984	0.0495	0.2473	4240	21199	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	enoplosus_armatus_gca_043641665_1	Enoplosus armatus	no	UNASSIGNED	no	no	367134169	367134169	0.1409	0.6091	2	7.91	0.1075	0.4776	4.1037	20.0239	371	1236	4.4498	22.2488	0.0346	0.173	2967	14833	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
