canonical_vgp_root	selection_id	primary_theta_0_per_100bp_bin	source_path	source_sha256	interval	time_2N0	lambda
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	28	0.607213	0.787531
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	29	0.658388	0.787531
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	30	0.713266	0.683318
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	31	0.772115	0.683318
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	32	0.835222	0.602976
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	33	0.902896	0.602976
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	34	0.975467	0.547845
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	35	1.053289	0.547845
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	36	1.136742	0.514293
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	37	1.226234	0.514293
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	38	1.322202	0.497247
