schema_version	canonical_vgp_root	selection_id	job_id	status	requested_scratch_root	resolved_node_local_scratch_root	live_fastga_snapshots	frozen_mapping_exact_match	contract_packet	contract_packet_sha256
vgp-real-scaleout-fastga-contract-ledger-v1	/moosefs/erikg/vgp	P04	1787540	PASS_LIVE_PROC_NODE_LOCAL_SCRATCH	/scratch/vgp-independent-P04-1787540-BnxfaJ	/mnt/sdb1/scratch/vgp-independent-P04-1787540-BnxfaJ	221	true	/moosefs/erikg/vgp/pilot/independent/P04/mapping/P04.independent.1787540.native.1to1.paf.manifest.json	e2684f53b4cf725cff6e7057d6766e34a0a6b62455bfc03bb7b78eab60d8093f
vgp-real-scaleout-fastga-contract-ledger-v1	/moosefs/erikg/vgp	P07	1787599	PASS_LIVE_PROC_NODE_LOCAL_SCRATCH	/scratch/vgp-scale-fastga-P07-1787599-rSglWw	/mnt/sdb1/scratch/vgp-scale-fastga-P07-1787599-rSglWw	886	true	/moosefs/erikg/vgp/derived/scale-vgp-real-v1/fastga/P07/contract.json	9764dae7bfae1fbb235212a5beaebaa37a4e6d449585bdd03126e079f12353b6
