canonical_vgp_root	selection_id	source_path	source_sha256	scenario_id	interval	time_years	effective_size	mutation_rate_per_generation	generation_time_years	psmc_bin_size_bp	mutation_rate_source	generation_time_source
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	13	77613.3555	416224.235775	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	14	87024.61074999999	387094.184975	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	15	97116.6021	387094.184975	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	16	107939.1523	346444.3277	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	17	119544.70635000001	346444.3277	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	18	131989.90485	320754.40667500003	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	19	145336.10845	320754.40667500003	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	20	159647.82450000002	306482.2866	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	21	174994.80485	306482.2866	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	22	191453.09475000002	290953.584325	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
