schema_version	canonical_vgp_root	catalog_commit	catalog_sha256	catalog_line	catalog_record_ordinal	scientific_name	taxid	main_accession_version	catalog_link_count	eligible_audited_pair_count	catalog_disposition
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	192	191	Dromiciops gliroides	33562	GCA_019393635.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	193	192	Monodelphis domestica	13616	GCA_027887165.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	194	193	Lestoros inca	42731		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	195	194	Ornithorhynchus anatinus	9258	GCA_004115215.4	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	196	195	Tachyglossus aculeatus	9261	GCA_015852505.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	197	196	Taeniopygia guttata	59729	GCA_048771995.1	5	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	198	197	Lonchura striata domestica	40157	GCA_046129695.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	199	198	Vidua chalybeata	81927	GCA_026979565.1	0	0	CATALOG_RELEASED_NO_LINKED_HAPLOTYPE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	200	199	Haemorhous mexicanus	30427	GCA_027477595.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	201	200	Fringilla coelebs	37598	GCA_963513975.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	202	201	Serinus canaria	9135		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	203	202	Spinus tristis	54773		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	204	203	Melospiza georgiana	44398	GCA_028018845.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	205	204	Melospiza melodia	44397	GCA_035770615.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	206	205	Ammodramus caudacutus	2857398	GCA_027887145.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	207	206	Ammospiza nelsoni	2857394	GCA_027579445.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	208	207	Ammospiza maritima	2707177	GCA_036010785.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	209	208	Passerculus sandwichensis	161624	GCA_031885435.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	210	209	Spizella passerina	40210		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	211	210	Zonotrichia albicollis	44394	GCA_047830755.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	212	211	Passer domesticus	48849	GCA_036417665.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	213	212	Sylvia borin	73324	GCA_014839755.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	214	213	Sylvia atricapilla	48155	GCA_009819655.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	215	214	Hirundo rustica	43150	GCA_015227805.3	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	216	215	Zosterops lateralis	43581	GCA_965231275.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	217	216	Geothlypis trichas	135433	GCA_009764595.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	218	217	Turdus migratorius	9188		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	219	218	Erithacus rubecula	37610	GCA_903797595.2	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	220	219	Catharus ustulatus	91951	GCA_009819885.2	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	221	220	Poecile atricapillus	48891	GCA_030490865.1	1	0	LINKS_ACCOUNTED_NONE_AUDITED_ELIGIBLE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	222	221	Oenanthe melanoleuca	2939378	GCA_029582105.1	0	0	CATALOG_RELEASED_NO_LINKED_HAPLOTYPE
vgp-real-scaleout-catalog-v1	/moosefs/erikg/vgp	dc1b2af5a7741b97d66fb10cb2bce97f41765cdf	9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	223	222	Copsychus sechellarum	797021		0	0	CATALOG_UNRELEASED_NO_MAIN_ACCESSION
