tuple_id	status	biological	scientific_name	taxon_id	population_id	population_release	design	sample_count	region	reference_accession	reference_version	reference_path	reference_sha256	reference_fai_path	reference_fai_sha256	native_annotation_accession	native_annotation_version	native_annotation_path	native_annotation_sha256	callset_modality	callset_accession	callset_path	callset_sha256	callset_index_path	callset_index_sha256	record_count	nonreference_genotype_record_count	sample_list_path	sample_list_sha256	sample_metadata_path	sample_metadata_sha256	callable_mask_path	callable_mask_sha256	callable_sites	callable_source_path	callable_source_sha256	callable_coordinate_system	callable_sample_scope	callable_construction	vcf_coordinate_system	annotation_coordinate_system	contig_compatibility	environment_record	guix_manifest	guix_channels	guix_channel_commit	bcftools_version	annotation_qc_and_exclusions
ag1000g_phase3_ao_coluzzii	approved	true	Anopheles coluzzii	151853	AO_Luanda_2009_coluzzii	Ag1000G Ag3.0 phase 3	wild_diploid	20	3R:10000000-10999999	INSDC:GCA_000005575.1	AgamP4	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/staged/Anopheles-gambiae-PEST_CHROMOSOMES_AgamP4.fa	19680ed68a6347f59891ecf0ddc9b54f441bd9b71780db95c02c0dddcd809fe7	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/staged/Anopheles-gambiae-PEST_CHROMOSOMES_AgamP4.fa.fai	75b8cef03d29b8a492430b61dfd62c8cf5447246a3b8dae7a9e0129c7c79d4a3	VectorBase:AgamP4.12	AgamP4.12	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/source/Anopheles-gambiae-PEST_BASEFEATURES_AgamP4.12.gff3.gz	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b	reproducible_merged_per_sample_all_sites_vcf	Ag1000G-Ag3.0:AG1000G-AO	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/staged/ao_luanda_coluzzii.3R_10000000_10999999.all_sites.vcf.gz	3885cf471a31bb1c8531bd24bcddf3e88aa65e02f5bd48174a95bea30700d363	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/staged/ao_luanda_coluzzii.3R_10000000_10999999.all_sites.vcf.gz.tbi	d5db2976e95f4813ba907ea06ec2f086c068a6f2313eede91cec47e9dcb3e319	994358	84086	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/staged/selected.samples.txt	b52524911b3219bbea9ebd08d129dc269b0b645584a90fcecaf29d62cec627fe	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/staged/sample_metadata.tsv	f632706f68c2f439807a0dfcc50d0b4e8054e9252e64bbf23d4630fbd7afc096	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/staged/ao_luanda_coluzzii.3R_10000000_10999999.callable.bed	4c25ce659135255dac0bb869951bf57e87d6708d696d3b5fb059071a747c539f	808036	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/source/3R_sitefilters.gamb_colu.dt_20200416.vcf.gz	25f6a1e77750d9defac12f9d74b225cc7af949a2569a16eefd0a8ae797f9900f	0-based half-open BED	exact 20-sample list at sample_list_path	provider dt_20200416 gamb_colu FILTER=PASS intersect sites with at least 18 of 20 samples having called GT, DP>=5, and GQ>=20; adjacent one-base sites merged	VCF POS 1-based; region endpoints inclusive	GFF3 1-based closed	PASS: VCF header dictionary equals 8-contig AgamP4 FASTA dictionary and bcftools norm --check-ref exit checked all 994358 records	analysis/pilot_results/guix_environment.json	analysis/guix/manifest.scm	analysis/guix/channels.scm	44bbfc24e4bcc48d0e3343cd3d83452721af8c36	1.14	exclude transcript AGAP000192-RA from CDS-stratified analysis because native CDS is empty or ambiguous; original GFF is retained unchanged; 8 sequence-region dictionary entries resolve exactly
ag1000g_phase3_gm_coluzzii	approved	true	Anopheles coluzzii	151853	GM_WaliKunda_2012_coluzzii	Ag1000G Ag3.0 phase 3	wild_diploid	20	3R:10000000-10999999	INSDC:GCA_000005575.1	AgamP4	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/staged/Anopheles-gambiae-PEST_CHROMOSOMES_AgamP4.fa	19680ed68a6347f59891ecf0ddc9b54f441bd9b71780db95c02c0dddcd809fe7	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/staged/Anopheles-gambiae-PEST_CHROMOSOMES_AgamP4.fa.fai	75b8cef03d29b8a492430b61dfd62c8cf5447246a3b8dae7a9e0129c7c79d4a3	VectorBase:AgamP4.12	AgamP4.12	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/source/Anopheles-gambiae-PEST_BASEFEATURES_AgamP4.12.gff3.gz	9329b95dc4daff2ee084674bb693bc8e3647dbf84831e758a1c2ce8179632e3b	reproducible_merged_per_sample_all_sites_vcf	Ag1000G-Ag3.0:AG1000G-GM-C	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3_gm_coluzzii/staged/gm_walikunda_coluzzii.3R_10000000_10999999.all_sites.vcf.gz	3d93dc644e3681534d3bdf83ab5cf1b0fd13400e8a2bdda466c3a2163b13225c	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3_gm_coluzzii/staged/gm_walikunda_coluzzii.3R_10000000_10999999.all_sites.vcf.gz.tbi	45210d1ad61f322089331d8355af24250d4d70471f8639e52515e93ec4902680	994358	125073	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3_gm_coluzzii/staged/selected.samples.txt	d0d72e84a52453933ad1316eb6783eec46fdca0b84dab619dfb3f0b9e07b90ae	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3_gm_coluzzii/staged/sample_metadata.tsv	55252662829b3846998fe92314a22f4ad4550bbdfe4332a860c4f8706ada79a2	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3_gm_coluzzii/staged/gm_walikunda_coluzzii.3R_10000000_10999999.callable.bed	53323273154d6ab0bec1b07f7320a0ede7380310275f64d404780de6f3390b04	808665	/moosefs/erikg/tier3scratch/tier3b-acquisition/ag1000g_phase3/source/3R_sitefilters.gamb_colu.dt_20200416.vcf.gz	25f6a1e77750d9defac12f9d74b225cc7af949a2569a16eefd0a8ae797f9900f	0-based half-open BED	exact 20-sample list at sample_list_path	provider dt_20200416 gamb_colu FILTER=PASS intersect sites with at least 18 of 20 samples having called GT, DP>=5, and GQ>=20; adjacent one-base sites merged	VCF POS 1-based; region endpoints inclusive	GFF3 1-based closed	PASS: VCF header dictionary equals 8-contig AgamP4 FASTA dictionary and bcftools norm --check-ref exit checked all 994358 records	analysis/pilot_results/guix_environment.json	analysis/guix/manifest.scm	analysis/guix/channels.scm	44bbfc24e4bcc48d0e3343cd3d83452721af8c36	1.14	exclude transcript AGAP000192-RA from CDS-stratified analysis because native CDS is empty or ambiguous; original GFF is retained unchanged; 8 sequence-region dictionary entries resolve exactly
