candidate_id	scientific_name	catalog_row_number	resolution_priority	seed_modalities	resolved_modality	h1_accession_version	h2_accession_version	ncbi_taxid	class	order	acceptance_status	explicit_rejection_reason	blocking_requirement_ids	annotation_reference_accession_version	annotation_sequence_region_linkage_status	same_individual_status	phase_evidence_status	metadata_cache_request_keys	resolution_reason_codes
hemiscyllium_ocellatum_gca_020745735_1	Hemiscyllium ocellatum	679		tier3a_seed,tier3c_seed		GCA_020745735.1	GCA_020745765.1	170820	Chondrichthyes	Orectolobiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_020745735.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
carcharodon_carcharias_gca_017639515_1	Carcharodon carcharias	682		tier3c_seed		GCA_017639515.1	UNRESOLVED	13397	Chondrichthyes	Lamniformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_017639515.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
scyliorhinus_canicula_gca_902713615_2	Scyliorhinus canicula	685		tier3c_seed		GCA_902713615.2	UNRESOLVED	7830	Chondrichthyes	Carcharhiniformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_902713615.2		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
heptranchias_perlo_gca_035084215_1	Heptranchias perlo	688		tier3a_seed,tier3c_seed		GCA_035084215.1	UNRESOLVED	212740	Chondrichthyes	Hexanchiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_035084215.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
pristiophorus_japonicus_gca_044704955_1	Pristiophorus japonicus	692		tier3a_seed,tier3c_seed		GCA_044704955.1	GCA_044704965.1	55135	Chondrichthyes	UNRESOLVED	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_044704955.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
narcine_bancroftii_gca_036971445_1	Narcine bancroftii	693		tier3a_seed,tier3c_seed		GCA_036971445.1	GCA_036971175.1	1343680	Chondrichthyes	Torpediniformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_036971445.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
amblyraja_radiata_gca_010909765_2	Amblyraja radiata	694		tier3c_seed		GCA_010909765.2	UNRESOLVED	386614	Chondrichthyes	Rajiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_010909765.2		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
pristis_pectinata_gca_009764475_2	Pristis pectinata	696		tier3c_seed		GCA_009764475.2	UNRESOLVED	685728	Chondrichthyes	Rhinopristiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_009764475.2		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
hypanus_sabinus_gca_030144855_1	Hypanus sabinus	697		tier3c_seed		GCA_030144855.1	UNRESOLVED	79690	Chondrichthyes	Myliobatiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_030144855.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
latimeria_chalumnae_gca_037176945_1	Latimeria chalumnae	700		tier3c_seed		GCA_037176945.1	UNRESOLVED	7897	UNRESOLVED	Coelacanthiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_037176945.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
