candidate_id	scientific_name	catalog_row_number	resolution_priority	seed_modalities	resolved_modality	h1_accession_version	h2_accession_version	ncbi_taxid	class	order	acceptance_status	explicit_rejection_reason	blocking_requirement_ids	annotation_reference_accession_version	annotation_sequence_region_linkage_status	same_individual_status	phase_evidence_status	metadata_cache_request_keys	resolution_reason_codes
alligator_mississippiensis_gca_030867095_1	Alligator mississippiensis	354		tier3a_seed		GCA_030867095.1	GCA_030867065.1	8496	UNRESOLVED	Crocodylia	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_030867095.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
emys_orbicularis_gca_028017835_1	Emys orbicularis	366		tier3a_seed		GCA_028017835.1	GCA_028017845.1	82168	UNRESOLVED	Testudines	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_028017835.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
candoia_aspera_gca_035149785_1	Candoia aspera	379	3	tier3a_seed	tier3c_composition	GCF_035149785.1		51853	Lepidosauria	Squamata	blocked_stricter_cap	metadata_eligible_but_not_selected_user_quota_unavailable_fail_closed	QUOTA_UNAVAILABLE	GCF_035149785.1	proven_official_exact_h1	not_applicable_composition_only	not_applicable_composition_only	acd393a5da9277a848f470b093eb03c3bce0e279bc31b89637fccb9aa01aef9a;a648ed5fc7c368b934a50744e84196ef308d157f1e493b34628300c30f9eef79;211798cc8fd4fd031eb498d5896cb60d7c5846b51ba7d0526616679047cfe0c2;a209837cc42988db9e11e3a3cee10b370297345b9ce9ad1f721250e1b2b71331;3b2798e0d4c972a64d03fc0fafe32ce015343c285c69789820f37b737bad6001;c82c8e25cf9b890b59601bac4727761e4e817a7852296e6f5c1fac373ac51f9e	QUOTA_UNAVAILABLE
anolis_sagrei_gca_037176765_1	Anolis sagrei	388		tier3a_seed		GCA_037176765.1	GCA_037176775.1	38937	Lepidosauria	Squamata	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_037176765.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
rhineura_floridana_gca_030035675_1	Rhineura floridana	412		tier3a_seed		GCA_030035675.1	GCA_030035715.1	261503	Lepidosauria	Squamata	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_030035675.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
euleptes_europaea_gca_029931775_1	Euleptes europaea	415		tier3a_seed		GCA_029931775.1	GCA_029931755.1	460621	Lepidosauria	Squamata	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_029931775.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
dendropsophus_ebraccatus_gca_027789765_1	Dendropsophus ebraccatus	435	4	tier3a_seed	tier3c_composition	GCF_027789765.1		150705	Amphibia	Anura	blocked_stricter_cap	metadata_eligible_but_not_selected_user_quota_unavailable_fail_closed	QUOTA_UNAVAILABLE	GCF_027789765.1	proven_official_exact_h1	not_applicable_composition_only	not_applicable_composition_only	acd393a5da9277a848f470b093eb03c3bce0e279bc31b89637fccb9aa01aef9a;a648ed5fc7c368b934a50744e84196ef308d157f1e493b34628300c30f9eef79;86eb689034ca6b7eadd5149a70b16975ffd0e87b4bf85499793f79c9f6a633e7;2b768c5eb9c63b6604bcc7ef50c41666fa461c29471f611b20bd546f27c4da84;e279e8b4d476a324c6cf070c61df0e46069241fa091de9f628f1ba4df24ad143;2737f5f894ae3961b47753dd040976302ebddd9e15839edfc87403c4ef2b91e0	QUOTA_UNAVAILABLE
engystomops_pustulosus_gca_040894005_1	Engystomops pustulosus	440		tier3a_seed		GCA_040894005.1	GCA_040894015.1	76066	Amphibia	Anura	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_040894005.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
pseudophryne_corroboree_gca_028390025_1	Pseudophryne corroboree	442		tier3a_seed		GCA_028390025.1	GCA_028390055.1	495146	Amphibia	Anura	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_028390025.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
ambystoma_mexicanum_x_ambystoma_tigrinum_gca_040938575_1	Ambystoma mexicanum x Ambystoma tigrinum	455		tier3a_seed		GCA_040938575.1	GCA_002915635.3	8296	Amphibia	Caudata	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_040938575.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
