pair_id	catalog_row	scientific_name	link_class	h1_accession_version	h2_accession_version	disposition	primary_reason_code	core_callable_diversity	psmc_unscaled	annotation_partitions	same_pair_psmc_independent_evidence
R0255-HQ01	255	Falco naumanni	other_high_quality	GCA_017639655.1	GCA_017639645.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0256-ALT01	256	Falco punctatus	alternate	GCA_963210335.1	GCA_963210275.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0257-ALT01	257	Cariama cristata	alternate	GCA_009819825.1	GCA_009819485.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0258-ALT01	258	Dryobates pubescens	alternate	GCA_014839835.1	GCA_014839825.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0259-ALT01	259	Pogoniulus pusillus	alternate	GCA_015220805.1	GCA_015220175.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0260-ALT01	260	Merops nubicus	alternate	GCA_009819595.1	GCA_009819585.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0261-ALT01	261	Bucorvus abyssinicus	alternate	GCA_009769605.1	GCA_009769595.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0262-ALT01	262	Trogon surrucura	alternate	GCA_020746105.1	GCA_020746095.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0263-HQ01	263	Leptosomus discolor	other_high_quality	GCA_034619465.1	GCA_034619455.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0264-HQ01	264	Colius striatus	other_high_quality	GCA_028858725.2	GCA_028858625.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0265-HQ01	265	Strix aluco	other_high_quality	GCA_031877795.1	GCA_031877785.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0267-HQ01	267	Athene noctua	other_high_quality	GCA_965140245.1	GCA_965140185.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0268-ALT01	268	Aquila chrysaetos	alternate	GCA_900496995.4	GCA_902153765.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0269-ALT01	269	Haliaeetus albicilla	alternate	GCA_947461875.1	GCA_947461935.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0270-ALT01	270	Harpia harpyja	alternate	GCA_026419915.1	GCA_026419925.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0271-HQ01	271	Morphnus guianensis	other_high_quality	GCA_045345515.1	GCA_045345505.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0272-ALT01	272	Astur gentilis	alternate	GCA_929443795.1	GCA_929447715.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0273-ALT01	273	Gypaetus barbatus	alternate	GCA_028022735.1	GCA_028017155.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0274-HQ01	274	Buteo buteo	other_high_quality	GCA_964188355.1	GCA_964188375.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0275-HQ01	275	Sarcoramphus papa	other_high_quality	GCA_037962945.1	GCA_037950955.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0276-ALT01	276	Pelecanus crispus	alternate	GCA_030463565.1	GCA_030449815.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0278-ALT01	278	Theristicus caerulescens	alternate	GCA_020745775.1	GCA_020745805.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0279-HQ01	279	Platalea leucorodia	other_high_quality	GCA_965183815.1	GCA_965183785.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0280-ALT01	280	Gulosus aristotelis	alternate	GCA_949628215.1	GCA_949628205.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0282-ALT01	282	Phalacrocorax carbo	alternate	GCA_963921805.1	GCA_963921815.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0283-HQ01	283	Morus bassanus	other_high_quality	GCA_031468815.1	GCA_031468805.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0284-ALT01	284	Ciconia maguari	alternate	GCA_017639555.1	GCA_017639665.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0285-HQ01	285	Calonectris borealis	other_high_quality	GCA_964195595.2	GCA_964196065.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0286-ALT01	286	Spheniscus humboldti	alternate	GCA_027474245.1	GCA_027474345.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0287-HQ01	287	Gavia stellata	other_high_quality	GCA_030936135.1	GCA_030936125.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0288-HQ01	288	Phaethon aethereus	other_high_quality	GCA_964289735.1	GCA_964289755.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0289-ALT01	289	Rhynochetos jubatus	alternate	GCA_027574665.1	GCA_027595965.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0290-ALT01	290	Pluvialis apricaria	alternate	GCA_017639485.1	GCA_017639475.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0292-ALT01	292	Alca Torda	alternate	GCA_008658365.1	GCA_008658355.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0293-HQ01	293	Numenius arquata	other_high_quality	GCA_964106895.1	GCA_964059295.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0294-ALT01	294	Sterna hirundo	alternate	GCA_009819605.1	GCA_009819645.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0295-HQ01	295	Rissa tridactyla	other_high_quality	GCA_028500815.1	GCA_028501385.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0296-HQ01	296	Chroicocephalus ridibundus	other_high_quality	GCA_963924245.1	GCA_030820635.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0296-ALT01	296	Chroicocephalus ridibundus	alternate	GCA_963924245.1	GCA_963924255.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0297-ALT01	297	Larus fuscus	alternate	GCA_963932225.1	GCA_963932325.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0298-ALT01	298	Larus michahellis	alternate	GCA_964199755.1	GCA_964199725.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0299-HQ01	299	Larus argentatus	other_high_quality	GCA_964417175.1	GCA_964417125.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0300-ALT01	300	Balearica regulorum gibbericeps	alternate	GCA_011004875.1	GCA_011004865.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
