versioned_taxon_id	candidate_id	scientific_name	ncbi_taxid	class	order	seed_modalities	h1_accession_version	h2_accession_version	same_individual_status	annotation_file_status	annotation_native_status	callable_bases	callable_fraction	queryable_gene_count	queryable_gene_bases	assembly_composition_eligible	assembly_diversity_eligible	population_genomic_eligible	demographic_eligible	acceptance_status	explicit_rejection_reason	blocking_requirement_ids	pilot_selected	predicted_download_gb_exact	predicted_core_hours_base	predicted_core_hours_high	predicted_peak_memory_gib_base	predicted_peak_memory_gib_high	predicted_wall_hours_base	predicted_wall_hours_high	predicted_scratch_gb_base	predicted_scratch_gb_high	predicted_inode_count_base	predicted_inode_count_high	predicted_moosefs_read_gb_base	predicted_moosefs_read_gb_high	predicted_moosefs_write_gb_base	predicted_moosefs_write_gb_high	predicted_metadata_operations_base	predicted_metadata_operations_high	ne_source_rows	accepted_independent_ne_rows	population_availability_rows	callable_diploid_genotypes_availability_class	population_vcf_availability_class	demographic_inference_readiness	join_status
gallus_gallus_gca_016700215_2|GCA_016700215.2	gallus_gallus_gca_016700215_2	Gallus gallus	9031	Aves	Galliformes	tier3a_seed	GCA_016700215.2	UNRESOLVED	no	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;reject_pair_unresolved	B02;B03	no	0.326582	0.2289	0.9894	3.21	12.85	0.1747	0.7758	6.6656	32.5247	602	2008	7.2277	36.1385	0.0562	0.2811	4818	24092	0	0	0				no_selected_pilot_species_no_inventory_rows
struthio_camelus_australis_gca_040807025_1|GCA_040807025.1	struthio_camelus_australis_gca_040807025_1	Struthio camelus australis	8801	Aves	Struthioniformes	tier3a_seed	GCA_040807025.1	GCA_040807015.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	0.813457	0.2642	1.1419	3.71	14.83	0.2016	0.8954	7.6933	37.5397	695	2317	8.3421	41.7107	0.0649	0.3244	5561	27807	0	0	0				no_selected_pilot_species_no_inventory_rows
dromaius_novaehollandiae_gca_036370855_1|GCA_036370855.1	dromaius_novaehollandiae_gca_036370855_1	Dromaius novaehollandiae	8790	Aves	Casuariiformes	tier3a_seed	GCA_036370855.1	GCA_036417515.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	0.820559	0.2678	1.1575	3.76	15.03	0.2044	0.9076	7.7982	38.0515	705	2349	8.4559	42.2794	0.0658	0.3288	5637	28186	0	0	0				no_selected_pilot_species_no_inventory_rows
apteryx_mantelli_gca_036417845_1|GCA_036417845.1	apteryx_mantelli_gca_036417845_1	Apteryx mantelli	2696672	Aves	Apterygiformes	tier3a_seed	GCA_036417845.1	GCA_036417975.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	0.904698	0.2827	1.2222	3.97	15.87	0.2158	0.9583	8.234	40.178	744	2480	8.9284	44.6422	0.0694	0.3472	5952	29761	0	0	0				no_selected_pilot_species_no_inventory_rows
alligator_mississippiensis_gca_030867095_1|GCA_030867095.1	alligator_mississippiensis_gca_030867095_1	Alligator mississippiensis	8496	UNRESOLVED	Crocodylia	tier3a_seed	GCA_030867095.1	GCA_030867065.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.501193	0.4039	1.7458	5.67	22.67	0.3082	1.3689	11.7614	57.39	1063	3543	12.7533	63.7666	0.0992	0.496	8502	42511	0	0	0				no_selected_pilot_species_no_inventory_rows
emys_orbicularis_gca_028017835_1|GCA_028017835.1	emys_orbicularis_gca_028017835_1	Emys orbicularis	82168	UNRESOLVED	Testudines	tier3a_seed	GCA_028017835.1	GCA_028017845.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.476643	0.3698	1.5984	5.19	20.76	0.2822	1.2533	10.7684	52.5444	973	3243	11.6765	58.3827	0.0908	0.4541	7784	38922	0	0	0				no_selected_pilot_species_no_inventory_rows
candoia_aspera_gca_035149785_1|GCA_035149785.1	candoia_aspera_gca_035149785_1	Candoia aspera	51853	Lepidosauria	Squamata	tier3a_seed	GCA_035149785.1	GCA_035125265.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	0.966841	0.2675	1.1563	3.75	15.02	0.2041	0.9066	7.7897	38.0101	704	2346	8.4467	42.2334	0.0657	0.3285	5631	28156	0	0	0				no_selected_pilot_species_no_inventory_rows
anolis_sagrei_gca_037176765_1|GCA_037176765.1	anolis_sagrei_gca_037176765_1	Anolis sagrei	38937	Lepidosauria	Squamata	tier3a_seed	GCA_037176765.1	GCA_037176775.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.146764	0.3176	1.3728	4.46	17.83	0.2424	1.0764	9.2487	45.129	836	2786	10.0287	50.1433	0.078	0.39	6686	33429	0	0	0				no_selected_pilot_species_no_inventory_rows
rhineura_floridana_gca_030035675_1|GCA_030035675.1	rhineura_floridana_gca_030035675_1	Rhineura floridana	261503	Lepidosauria	Squamata	tier3a_seed	GCA_030035675.1	GCA_030035715.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.471977	0.4	1.7293	5.61	22.46	0.3053	1.356	11.6505	56.849	1053	3509	12.6331	63.1656	0.0983	0.4913	8422	42110	0	0	0				no_selected_pilot_species_no_inventory_rows
euleptes_europaea_gca_029931775_1|GCA_029931775.1	euleptes_europaea_gca_029931775_1	Euleptes europaea	460621	Lepidosauria	Squamata	tier3a_seed	GCA_029931775.1	GCA_029931755.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.122771	0.3272	1.4146	4.59	18.37	0.2497	1.1091	9.5299	46.5012	861	2870	10.3336	51.668	0.0804	0.4019	6889	34445	0	0	0				no_selected_pilot_species_no_inventory_rows
