dataset_id	scientific_name	status	slurm_job_id	slurm_array_task_id	node	requested_cpus	requested_memory	elapsed	max_rss	exit_code	sweepga_hit_cap	sweepga_paf_path	sweepga_paf_sha256	impg_index_path	sweepga_binary_path	sweepga_binary_sha256	sweepga_command	impg_binary_path	impg_binary_sha256	impg_commit	impg_partitions_path	impg_native_partitions_selected	impg_focus_bed	impg_regional_vcf_count	impg_normalized_bcf	impg_normalized_bcf_sha256	guix_channel_commit	guix_channels_path	guix_manifest_path	guix_profile_store_path	sweepga_origin_main_commit	sweepga_native_command_path	sweepga_native_command_sha256	sweepga_observed_query_multiplicity	sweepga_observed_target_multiplicity	annotation_query_qc_path	annotation_query_qc_sha256	preflight_audit_path	preflight_audit_sha256	command
menidia_menidia_fMenMen1	Menidia menidia	completed	1761813_0	0	octopus07	8	64G	00:17:39	not_reported_by_sacct	0:0	1:1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/production.1to1.paf	dd7ef226515e12c0fc96bc9cdbb8ecdf9434c09ab63aa942e87637dce6b77b11	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/graph.impg	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga	fa7f0edb9b7e275c288db254046020e136d4267dd5ee043379227ef80da0573b	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga /moosefs/erikg/tier3data/tier3a-acquisition-20260716/menidia_menidia_fMenMen1/h1.fna /moosefs/erikg/tier3data/tier3a-acquisition-20260716/menidia_menidia_fMenMen1/h2.fna --output-file /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/production.1to1.paf.part --aligner wfmash --map-pct-identity 90 --min-aln-length 25k --num-mappings 1:1 --scaffold-jump 0 --overlap 0.95 --scoring log-length-ani --threads 8 --temp-dir /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/scratch/menidia_menidia_fMenMen1	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg	c587dc2326cd24f887b1fcb3938404229ad0f0a27ef0773e90c287b1ade160d4	101df81eb28a809c8fac97d297acd9fcfbbfa048	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/partitions/partitions.bed	1165	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/focus.bed	1159	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/normalized.bcf	74892f4db17aafe2b9a3dbb5777b68254a311b2a050dc48aca3f58245877b5b7	44bbfc24e4bcc48d0e3343cd3d83452721af8c36	analysis/guix/channels.scm	analysis/guix/manifest.scm; supplemental analysis/guix/sweepga_impg_smoke_manifest.scm	/gnu/store/z9v2f6faha9cwjz0sm5iphhlzisgi077-profile	018e4ce49d2c125820e0ac50dc5feaa02d423683	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/command.txt	2f130ccc47f04ae8e2631934f0a4649e96a09a5f12e50d0f2d3ea431844721fe	1	1	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/native_annotation/query_qc.json	997e2cdc9888f6c2b67061398b0340f676e9690007e38de5b7c83fc5c1a03175	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/menidia_menidia_fMenMen1/preflight_audit.json	7c12a3a2112d278d97142be80f4141aa67fb15846d4e0937d06e1ccb11c0b6b2	sbatch --array=0 analysis/slurm/tier3a_biological_array.sh
spinachia_spinachia_SK-2024b	Spinachia spinachia	completed	1761798_1	1	octopus07	8	64G	00:04:34	not_reported_by_sacct	0:0	1:1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/production.1to1.paf	bfd2b8c3d23db5078d181b1a49a816fe57b8309d48839c1a1e54265389beb962	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/graph.impg	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga	fa7f0edb9b7e275c288db254046020e136d4267dd5ee043379227ef80da0573b	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga /moosefs/erikg/tier3data/tier3a-acquisition-20260716/spinachia_spinachia_SK-2024b/h1.fna /moosefs/erikg/tier3data/tier3a-acquisition-20260716/spinachia_spinachia_SK-2024b/h2.fna --output-file /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/production.1to1.paf.part --aligner wfmash --map-pct-identity 90 --min-aln-length 25k --num-mappings 1:1 --scaffold-jump 0 --overlap 0.95 --scoring log-length-ani --threads 8 --temp-dir /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/scratch/spinachia_spinachia_SK-2024b	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg	c587dc2326cd24f887b1fcb3938404229ad0f0a27ef0773e90c287b1ade160d4	101df81eb28a809c8fac97d297acd9fcfbbfa048	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/partitions/partitions.bed	1126	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/focus.bed	1122	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/normalized.bcf	af9c3b2f2e27df2c28611e93f9df97fe8533bb6e3b619c4e6662268d34d64b13	44bbfc24e4bcc48d0e3343cd3d83452721af8c36	analysis/guix/channels.scm	analysis/guix/manifest.scm; supplemental analysis/guix/sweepga_impg_smoke_manifest.scm	/gnu/store/z9v2f6faha9cwjz0sm5iphhlzisgi077-profile	018e4ce49d2c125820e0ac50dc5feaa02d423683	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/command.txt	a6ce67e2da76824aee931fbcf9a62f9426c946e027ccc71c987df34193967837	1	1	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/native_annotation/query_qc.json	23b3b462c102f9b4c8345578d53dd721f6b657a7087184f1b7ae8956cb8c5518	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/spinachia_spinachia_SK-2024b/preflight_audit.json	529a77aaf775eb18eea0b732e47aeee4113a408d1cc952058937aca9c452f43a	sbatch --array=1 analysis/slurm/tier3a_biological_array.sh
tautogolabrus_adspersus_fTauAds1	Tautogolabrus adspersus	completed	1761798_2	2	octopus07	8	64G	00:06:27	not_reported_by_sacct	0:0	1:1	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/mapping/production.1to1.paf	bbb3617ef2d2716a451c2693b56d3f972d76985c3913072ece3c0d328407f33c	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/graph.impg	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga	fa7f0edb9b7e275c288db254046020e136d4267dd5ee043379227ef80da0573b	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga /moosefs/erikg/tier3data/tier3a-acquisition-20260716/tautogolabrus_adspersus_fTauAds1/h1.fna /moosefs/erikg/tier3data/tier3a-acquisition-20260716/tautogolabrus_adspersus_fTauAds1/h2.fna --output-file /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/mapping/production.1to1.paf.part --aligner wfmash --map-pct-identity 90 --min-aln-length 25k --num-mappings 1:1 --scaffold-jump 0 --overlap 0.95 --scoring log-length-ani --threads 8 --temp-dir /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/scratch/tautogolabrus_adspersus_fTauAds1	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg	c587dc2326cd24f887b1fcb3938404229ad0f0a27ef0773e90c287b1ade160d4	101df81eb28a809c8fac97d297acd9fcfbbfa048	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/partitions/partitions.bed	1164	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/focus.bed	1160	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/normalized.bcf	38ebd016563be3c6efbba5615ffc22be74829109d09fdea6a95530c668e681cb	44bbfc24e4bcc48d0e3343cd3d83452721af8c36	analysis/guix/channels.scm	analysis/guix/manifest.scm; supplemental analysis/guix/sweepga_impg_smoke_manifest.scm	/gnu/store/z9v2f6faha9cwjz0sm5iphhlzisgi077-profile	018e4ce49d2c125820e0ac50dc5feaa02d423683	/moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/mapping/command.txt	7063a5b6baa5c06f741311d6a9b53170f3589f92f208781b0691298a809e6fcf	1	1	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/native_annotation/query_qc.json	e660aac869b9fb4c4724497a3450c40d118247fbeaf1025afd9a46366338b26f	/moosefs/erikg/tier3data/tier3a-origin-biological-rerun-20260716/tautogolabrus_adspersus_fTauAds1/preflight_audit.json	604a57c34931688606a6aec95fdf28379ae7e8d268a8cd45c6519c45e73c185b	sbatch --array=2 analysis/slurm/tier3a_biological_array.sh
