dataset_id	binary_realpath	binary_sha256	command	impg_index_command	impg_partition_command	impg_query_command	slurm_job_id	slurm_array_task_id
menidia_menidia_fMenMen1	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga	fa7f0edb9b7e275c288db254046020e136d4267dd5ee043379227ef80da0573b	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga /moosefs/erikg/tier3data/tier3a-acquisition-20260716/menidia_menidia_fMenMen1/h1.fna /moosefs/erikg/tier3data/tier3a-acquisition-20260716/menidia_menidia_fMenMen1/h2.fna --output-file /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/production.1to1.paf.part --aligner wfmash --map-pct-identity 90 --min-aln-length 25k --num-mappings 1:1 --scaffold-jump 0 --overlap 0.95 --scoring log-length-ani --threads 8 --temp-dir /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/scratch/menidia_menidia_fMenMen1	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg index -a /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/production.1to1.paf -i /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/graph.impg -t 8	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg partition -a /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/production.1to1.paf -i /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/graph.impg -w 2000 -d 0 --min-missing-size 1 --min-boundary-distance 0 -o bed	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg query -a /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/mapping/production.1to1.paf -i /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/graph.impg -b /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/menidia_menidia_fMenMen1/focus.bed -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	1761781	0
spinachia_spinachia_SK-2024b	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga	fa7f0edb9b7e275c288db254046020e136d4267dd5ee043379227ef80da0573b	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga /moosefs/erikg/tier3data/tier3a-acquisition-20260716/spinachia_spinachia_SK-2024b/h1.fna /moosefs/erikg/tier3data/tier3a-acquisition-20260716/spinachia_spinachia_SK-2024b/h2.fna --output-file /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/production.1to1.paf.part --aligner wfmash --map-pct-identity 90 --min-aln-length 25k --num-mappings 1:1 --scaffold-jump 0 --overlap 0.95 --scoring log-length-ani --threads 8 --temp-dir /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/scratch/spinachia_spinachia_SK-2024b	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg index -a /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/production.1to1.paf -i /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/graph.impg -t 8	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg partition -a /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/production.1to1.paf -i /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/graph.impg -w 2000 -d 0 --min-missing-size 1 --min-boundary-distance 0 -o bed	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg query -a /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/mapping/production.1to1.paf -i /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/graph.impg -b /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/spinachia_spinachia_SK-2024b/focus.bed -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	1761778	1
tautogolabrus_adspersus_fTauAds1	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga	fa7f0edb9b7e275c288db254046020e136d4267dd5ee043379227ef80da0573b	/moosefs/erikg/tier3scratch/sweepga-origin-main-018e4ce/bin-1/sweepga /moosefs/erikg/tier3data/tier3a-acquisition-20260716/tautogolabrus_adspersus_fTauAds1/h1.fna /moosefs/erikg/tier3data/tier3a-acquisition-20260716/tautogolabrus_adspersus_fTauAds1/h2.fna --output-file /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/mapping/production.1to1.paf.part --aligner wfmash --map-pct-identity 90 --min-aln-length 25k --num-mappings 1:1 --scaffold-jump 0 --overlap 0.95 --scoring log-length-ani --threads 8 --temp-dir /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/scratch/tautogolabrus_adspersus_fTauAds1	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg index -a /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/mapping/production.1to1.paf -i /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/graph.impg -t 8	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg partition -a /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/mapping/production.1to1.paf -i /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/graph.impg -w 2000 -d 0 --min-missing-size 1 --min-boundary-distance 0 -o bed	/moosefs/erikg/tier3data/tier3a-acquisition-20260716/tools/sweepga-impg-guix-handoff-018e4ce-101df81/impg query -a /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/mapping/production.1to1.paf -i /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/graph.impg -b /moosefs/erikg/tier3data/tier3a-origin-remap-20260716/tautogolabrus_adspersus_fTauAds1/focus.bed -d 0 -o vcf:poa --force-large-region --min-transitive-len 1	1761778	2
